month,country,host_tld,reach,site_reach,site_reach_top10k,site_avg_frequency,cookies,bad_qs,tracked,https,requests,requests_tracking,content_length,requests_failed,has_blocking,script,iframe,beacon,image,stylesheet,font,xhr,plugin,media,referer_leaked,referer_leaked_header,referer_leaked_url,hosts,trackers,companies,reach_rank,site_reach_rank
2019-01,fr,glodrips.com,7.816475782791677e-05,,17,0.08545409156361561,0.9123976962715975,0.0,0.9123976962715975,0.9975750227341619,1.6883904213398,1.122158229766596,11237.008032737192,0.528645043952713,0.0,0.0,0.0,0.0,0.16717187026371627,0.8528341921794483,0.0,0.08396483782964535,0.0,0.0,0.9042133979993937,0.9042133979993937,0.0,1.0,1.0,1.0,1196,946
2019-01,fr,perwasherthim.club,7.795151659710402e-05,,35,0.033878653956107896,0.993161094224924,0.0,0.993161094224924,0.9995440729483283,4.050455927051671,3.7598784194528876,116.66200607902735,1.0598784194528876,0.0,0.052127659574468084,0.0,0.0,0.0,0.0,0.0,0.9864741641337386,0.0,0.0,0.9793313069908814,0.9793313069908814,0.0,1.0,1.0,1.0,1197,627
2019-01,fr,placeholder.com,7.792782312701372e-05,,14,0.24112531855420943,0.10504712678625722,0.0,0.10504712678625722,0.7844329583460018,2.0074490726664638,0.36363636363636365,1633.4203405290361,0.6837944664031621,0.0,0.00015202189115232594,0.00015202189115232594,0.0,1.0,0.00015202189115232594,0.0,0.00015202189115232594,0.0,0.0,0.8388567953785345,0.8388567953785345,0.0,1.0,1.0,1.0,1198,1053
2019-01,fr,wcfbc.net,7.748949393034307e-05,,16,0.14979189478267335,0.8156245222443052,0.0025989909799724814,0.8159302858890078,0.9974010090200275,1.8295367680782755,1.0314936554043723,264.4771441675585,0.3768536920960098,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7723589665188809,0.7723589665188809,0.0,1.0,1.0,1.0,1199,977
2019-01,fr,ibillboard.com,7.725255922944002e-05,,10,0.08513431995854057,0.610335838061647,0.010121147063333844,0.610335838061647,0.927618463425855,4.961048918877473,2.6367121607115473,756.5068241067321,2.2533353780095076,0.0,0.35899401932218983,0.478760926238307,0.0,0.14092930532126974,0.0,0.0,0.10673209630424782,0.0,0.00015335071308081582,0.1870878699585953,0.17758012574758472,0.0,1.0,1.0,1.0,1200,1249
2019-01,fr,rss2json.com,7.71814788191691e-05,,10,0.23339676124650835,0.6871834228702993,0.0,0.6871834228702993,0.6520337682271681,2.027475057559478,1.4552570990023024,54.21673062164236,0.4113584036838066,0.0,0.09915579432079816,0.0,0.0,0.0,0.0,0.0,0.9046815042210284,0.0,0.0,0.9803530314658481,0.9803530314658481,0.0,1.0,1.0,1.0,1201,1249
2019-01,fr,unpact.net,7.662468227204693e-05,,10,0.1734702806570824,0.704700061842919,0.0,0.704700061842919,0.0006184291898577613,1.9901051329622759,1.3129251700680271,18215.116883116883,0.7230983302411874,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6332714904143476,0.6332714904143476,0.0,1.0,1.0,1.0,1202,1249
2019-01,fr,typeform.com,7.649436818655025e-05,,14,0.11778262386734625,0.35310515719374325,0.0017035775127768314,0.35310515719374325,0.9990707759021217,3.189871457333127,1.0332971968406381,65857.30013938362,0.9203964689484281,0.0,0.9732073718445098,0.2375716276908781,0.0,0.08734706520055753,0.007588663466005885,0.002942542976614527,0.1232770636518507,0.0,0.0,0.9296887099272108,0.9282948737803933,0.0,1.0,1.0,1.0,1203,1053
2019-01,fr,ad4mat.de,7.644698124636965e-05,,10,0.07500874521995919,0.22020765535409886,0.006198667286533396,0.22160235549356888,0.9916317991631799,1.6079342941267627,0.471563613823028,1.275375794204246,0.9332093599876027,0.0,0.8447233844723384,0.15620641562064155,0.0,0.0,0.0,0.0,0.00046490004649000463,0.0,0.0,0.2217573221757322,0.15822098248876493,0.0,1.0,1.0,1.0,1204,1249
2019-01,fr,tinyurl.com,7.586649122915716e-05,,14,0.12342809216809925,0.8611805121798876,0.0,0.8611805121798876,0.44409743910056215,4.6233603997501564,2.2891942535915053,2153832.1688007494,1.8276077451592754,0.0,0.44675202998126173,0.06480324797001874,0.0,0.6283572767020612,0.03123048094940662,0.0,0.0009369144284821987,0.0,0.032011242973141785,0.622735790131168,0.622579637726421,0.0,1.0,1.0,1.0,1205,1053
2019-01,fr,adexchangemachine.com,7.568879020347988e-05,,29,0.03966255259981853,0.9669744874002191,0.0530599467835342,0.9669744874002191,0.7650649553920802,1.8334637658475506,1.6243543590546252,1.6764751917357958,0.359837220222257,0.0,0.9995304429488183,0.0,0.0,0.0,0.0,0.00015651901706057285,0.0014086711535451558,0.0,0.0,0.7664736265456253,0.7664736265456253,0.0,1.0,1.0,1.0,1206,706
2019-01,fr,appier.net,7.568879020347988e-05,,10,0.10913642104341541,0.8195335733291595,0.012365002347785255,0.81969009234622,0.8556894662701519,3.5673814368445766,1.4842698387854125,473.3640632336829,2.025669118797934,0.0,0.17670997026138677,0.0020347472217874473,0.00015651901706057285,0.8176553451244326,0.0,0.0,0.007512912818907497,0.0,0.0,0.4362185005478166,0.4362185005478166,0.0,1.0,1.0,1.0,1206,1249
2019-01,fr,coinmarketcap.com,7.525046100680924e-05,,12,0.04336866122053631,0.8630352644836272,0.0,0.8630352644836272,0.9998425692695214,14.441750629722922,10.632241813602015,5549.218041561713,3.8616183879093198,0.0,0.7186712846347607,0.0,0.0,0.9006612090680101,0.017632241813602016,0.025818639798488665,0.7860516372795969,0.0,0.0,0.1341309823677582,0.1341309823677582,0.0,1.0,1.0,1.0,1208,1142
2019-01,fr,hausly.info,7.449226996391947e-05,,22,0.06640091351986471,0.14821882951653945,0.0,0.14821882951653945,0.9866412213740458,1.4039440203562341,0.36895674300254455,12.825381679389313,1.0749045801526718,0.0,1.0,0.0,0.0,0.0357824427480916,0.0,0.0,0.0,0.0,0.0,0.07888040712468193,0.06552162849872774,0.0,1.0,1.0,1.0,1209,819
2019-01,fr,justyshirts.com,7.435010914337764e-05,,15,0.032897513292165025,0.8992989165073295,0.0,0.8992989165073295,0.887189292543021,25.067558954748247,22.5736137667304,560.56373486297,3.2144678138942,0.0,0.9996813256851498,0.0,0.0,0.8946781389420013,0.0,0.0,0.00031867431485022306,0.0,0.0,0.8980242192479286,0.6912045889101338,0.0,1.0,1.0,1.0,1210,1019
