month,country,tracker,reach,site_reach_top10k,site_avg_frequency,cookies,bad_qs,tracked,https,requests,requests_tracking,content_length,requests_failed,has_blocking,script,iframe,beacon,image,stylesheet,font,xhr,plugin,media,referer_leaked,referer_leaked_header,referer_leaked_url,hosts,trackers,companies,reach_rank,site_reach_rank
2018-11,global,google_analytics,0.4556433913544701,8922,0.7299452166072101,0.025489829296412275,0.2380727853585037,0.24586792319129921,0.9639748590861268,4.116906082362885,0.7668245497726702,11468.688882398348,1.7667732627725676,0.2898338770997224,0.9746490604446176,0.00011590703485310745,0.023322167458486687,0.4785704813831651,2.5947364297121123e-06,4.756136021875562e-08,0.005932825212069896,0.0004822616234270223,0.0,0.5323735989869938,0.4891426054934354,0.4646615790702408,1.0,1.0,1.0,1,1
2018-11,global,gstatic,0.3617245182798444,9324,0.310454140733683,0.2979632233384914,0.00013102379623260155,0.2980220019860926,1.4289985955697542,15.204975276356166,3.8560930625086622,204957.3134548385,4.980080009521742,0.00043865645990650534,0.559773910561398,0.007452526756266716,0.0072454368664736845,0.41760978326987946,0.14009837402151526,0.5916875276502613,0.02215047706561015,0.0005858493767532912,0.014912668775597502,0.36855646564457945,0.3685339726604068,0.0001813950336502765,1.0,1.0,1.0,2,3
2018-11,global,google_tag_manager,0.34072488866646183,6999,0.7362739886034279,0.0023525080296806053,0.02034195647061578,0.022225394661581712,1.129951602805102,1.856627113025351,0.0400408402766211,23965.22933180943,0.8529301289327584,0.11171069052882238,0.9965512784073552,0.004592926918692985,0.0,0.005955317739287047,6.748952105047277e-06,4.6641972663153954e-07,0.0014427846207480074,3.7030899508322234e-05,1.4133931110046653e-08,0.5766871590529218,0.5766772158323858,9.926966515141267e-05,1.1790717129446082,1.0,1.0,3,6
2018-11,global,google,0.29528574036179844,9100,0.4007471263166813,0.6453611402267802,0.014514665796185199,0.6473912869292245,1.487440570105888,6.214174989167025,3.973488964594929,58196.22724874024,2.04288294107182,0.49067027630200233,0.7877292039924452,0.24714245243779837,0.0013305280197421047,0.3730909315022866,0.031800855885556034,2.3566343337795146e-06,0.05662119778557591,6.686644130447066e-05,9.356409116188979e-05,0.49518093149796477,0.4669666447439874,0.19817633686830385,1.339222524479376,1.0,1.0,4,4
2018-11,global,doubleclick,0.26651876950352626,8182,0.3887925707749144,0.41974793279267864,0.029383426347574154,0.42352242695433806,1.4771668318794249,6.754883057916498,2.579971443429477,25181.89648662391,3.9897038421271933,0.6261115903465637,0.6677649279635031,0.24320844561838056,0.00027940410655192963,0.5092690500910868,0.0019204311745813997,0.0008870172405506193,0.2845711039452662,0.00021365027199573278,0.0011466355683614014,0.4230909433895442,0.40555781621378617,0.1478037062829153,1.0219817743163606,1.0,1.0,5,8
2018-11,global,google_fonts,0.26573294462715974,9492,0.3427197726600737,0.0003413670808758809,4.286004014925587e-06,0.0003456530848908065,0.921722298364488,1.9694096748032057,0.0007561852157580764,7.1016826181224975,0.5571652083107593,0.0010257957093312178,1.6292252048279508e-05,9.088503228267156e-06,0.0,5.850893852933302e-05,0.9947347845181126,0.000776256037942136,0.0033507761917025754,1.0511130353728715e-06,0.0,0.7409631326995956,0.7409630873929992,7.520894994478304e-07,1.0,1.0,1.0,6,2
2018-11,global,facebook,0.25089363458638075,6553,0.570565512477127,0.47807760156987344,0.02536408567499481,0.48098318115968336,1.4163451849014048,5.820253100243182,2.5453239695186083,159303.30994119635,2.2055159225571495,0.37626395293819254,0.9067038798443205,0.38716781093339453,0.03013596733546218,0.3880498661647915,0.03238879898976954,7.677806751581098e-07,0.0843858142807839,0.0002070032672810659,1.977035238532133e-06,0.5581397069647966,0.5155837835239315,0.44914790405041066,1.4997386138677717,1.0,1.0,7,5
2018-11,global,googleapis.com,0.1526014655070257,6714,0.3253321434340813,0.0008073458086033121,1.7988004178708045e-06,0.0008091446090211829,0.983418689305969,6.973046490517505,0.028000584894156928,3588891.9530524453,1.3147455133696708,0.09892110002199743,0.8799276105907625,0.02221867230888294,0.00014595529706407844,0.1226900542699664,0.10224678219457091,0.0005478451798988977,0.05829465610005016,0.00045522273732958516,0.0012163835562565126,0.7833445724171723,0.7575120153950807,0.1480219925126037,1.1021058603828866,1.0,1.0,8,7
2018-11,global,google_adservices,0.11328312328280346,3539,0.4409183844800433,0.2607998896413695,0.001165694917689615,0.26110278072078086,0.9587093991778155,1.9409352617611277,0.3428859228235655,4845.596288659663,1.2212987055498041,0.48990455530116245,0.8779769809156301,0.00019095954087238796,1.105286745922103e-06,0.13672626606611338,6.16409915995019e-07,1.2753308606793496e-07,0.00038914595662195887,8.253516220029857e-05,8.50220573786233e-08,0.3693609837817237,0.3661803936372468,0.018609160297717486,1.0,1.0,1.0,9,11
2018-11,global,youtube,0.09067273495022223,4573,0.15349041193141433,0.4686361401568611,0.004748078777594112,0.4690735680278679,1.7653449628103985,129.89588714764577,3.1555170537119044,73106715.05379869,39.4318402557604,0.134074961944147,0.542947705115617,0.32290653505873385,0.006113898973175782,0.7476018080706079,0.18506823816364848,1.5933506714671844e-07,0.5330739765629801,0.0023361973103497103,0.009632229702531522,0.8733669682578522,0.8537844495029198,0.11050834950274446,1.8150057464191967,1.0,1.0,10,13
