month,country,tracker,reach,site_reach,cookies,bad_qs,tracked,https,requests,requests_tracking,content_length,requests_failed,has_blocking,script,iframe,beacon,image,stylesheet,font,xhr,plugin,media,hosts,trackers,companies,reach_rank,site_reach_rank
2018-05,fr,teads,0.004481261041870169,0.005885381599271258,0.03356477223153701,0.0006517431501269322,0.03361207616985267,0.5911520611377122,1.764820586673955,0.20869446386241913,4068.9880531275785,1.5514745688771623,0.9318350248871275,0.9474137885724196,0.014601148960101756,0.0,0.0612060401873236,0.005161385269553609,0.0,0.016325114712050417,0.00011563184921606862,0.00022075171213976736,1.0,1.0,1.0,170,136
2018-05,fr,hawifallon.com,0.004435732170206094,0.0009663749059368688,0.0786986395930461,0.0008920701337043212,0.07921901383770695,0.6400550109915785,3.830395165829466,0.46054182640739993,4274.429728237205,1.1012765098818007,0.0005416140097490522,0.46134362753947944,0.8277242653696251,0.015483788749296432,0.297271752174421,3.1859647632297184e-05,0.0,0.026294829179189277,0.0,4.778947144844578e-05,1.0,1.0,1.0,171,265
2018-05,fr,zopim,0.004433211948132605,0.016784823161313318,0.8878699812452515,0.0,0.8878699812452515,0.9260861018281895,5.377528304793883,3.337829868397983,16621.795775134284,2.217066289800711,0.37231097816904773,0.9953724119244072,0.0001381369574803819,0.0,0.4893182941148343,0.00017001471689893156,0.005413906141250352,0.003102768583405501,0.0,0.008442293286012571,1.0,1.0,1.0,172,64
2018-05,fr,doofinder.com,0.004415052217117085,0.005687353954612064,0.004870684136400495,0.0006721864197003969,0.005222781784814988,0.9426507618112756,2.940532841107934,0.013112969997012504,76843.28249967992,0.6656779480175835,0.0001547095727881866,0.993166104733046,0.000490802782638385,0.0,0.010770987153770646,5.334812854765055e-06,0.0,0.694389910801929,0.0,0.0,1.0,1.0,1.0,173,141
2018-05,fr,velocecdn.com,0.004385516156554877,0.0027882292368014575,0.01927022353029636,0.0,0.01927022353029636,0.6092731237311622,1.6216849092881618,0.04813259288698884,12.786743933746523,1.572897085835204,0.939847685747124,0.999989258515312,0.0001879759820402376,0.0,1.0741484688013577e-05,0.0,0.0,3.222445406404073e-05,0.0,0.0,1.0,1.0,1.0,174,210
2018-05,fr,videology,0.0043712191958202185,0.006503227850607945,0.0560222429372747,0.0005981022377644986,0.05614617403158626,0.9819976614741335,1.2884738693981799,0.12276721968672374,5.743861369600241,1.166461012894222,0.9176019872081558,2.1553233793315265e-05,0.00017781417879485093,0.0,0.9993318497524072,0.0,0.0,0.00017242587034652212,4.310646758663053e-05,0.0,1.0,1.0,1.0,175,127
2018-05,fr,dailymotion_advertising,0.0043366897980656755,0.00509327102063448,0.5411984510186236,0.0,0.5411984510186236,0.9998262012480923,2.583105675072371,1.218084846378197,170.34996008059917,1.2646737743114582,0.0,0.9997501642941327,0.0,0.0,0.0019280799039761896,0.0,0.0,7.060574296250835e-05,0.0,0.0,1.0,1.0,1.0,176,153
2018-05,fr,oath_inc,0.004313795818108365,0.0010059804348687077,0.2851558021064816,0.00016926109342666355,0.2851558021064816,0.99435432352893,2.089539118422705,0.4455115780047939,7563.284637098755,0.5132924558692649,1.6380105815483568e-05,0.9928418937586336,0.0005350834566391299,0.0,0.0006770443737066542,0.0001365008817956964,0.0,0.22609460057111969,0.0,0.0,1.0,1.0,1.0,177,264
2018-05,fr,scene7.com,0.00429386957629367,0.0022971206780466554,0.0004991689659522882,0.0011848406224801568,0.0015139630176135336,0.8923660060448814,64.68541384398502,0.05043252168093778,2535226.0206304886,11.989703954405577,0.03182065023614532,0.19734178812197276,0.0014261970455779665,0.0,0.9723811456750575,0.1711271893495993,0.0,0.0023587104984558673,0.0034338436558915652,0.022407749735330742,1.0,1.0,1.0,178,225
2018-05,fr,whos.amung.us,0.0042453965199643045,0.007033941938294586,0.06112790923465283,0.005564648117839607,0.06620988099531194,0.5716552470248828,2.205919720380593,0.13782906599350883,236.5615301395323,1.2445171849427168,0.15533856695053955,0.5922106022358457,0.0067463729923160146,0.0,0.44583206191572583,0.0,0.0,8.87680656883686e-05,1.6644012316569116e-05,0.0,1.0,1.0,1.0,179,118
2018-05,fr,dynadmic,0.004238071388517058,0.005425957463661927,0.056809719119232605,0.00023341892027076594,0.05684862227261107,0.9920859870841531,1.2373759267286895,0.09130570097924795,1.2926850956461813,1.145959073882646,0.9159414007358253,0.00042237709382329076,8.336390009670212e-05,0.0,0.9990051907921793,0.0,0.0,0.000589104894016695,0.0,0.0,1.0,1.0,1.0,180,146
2018-05,fr,digidip,0.004210984889596372,0.0005227929819002732,0.005268927868265617,0.0005537408269196349,0.005296894576695901,0.2984942724181135,1.4025416144621443,0.012752819044209773,3019.079313585108,0.5718464739574011,0.0004027206013960981,0.9976955432253446,0.00223174333273671,0.0,1.6780025058170754e-05,1.6780025058170754e-05,0.0,0.05754989260783963,0.0,0.0,1.0,1.0,1.0,181,284
2018-05,fr,adelphic,0.0042064861754278066,0.0054972474157392376,0.045416113733461,3.359594161025348e-05,0.045449709675071254,0.9972563314351627,1.214174127765366,0.05570767051340198,0.4449446506861971,1.1596479145319245,0.9283958497813464,0.00013438376644101392,0.0023405172655143257,0.0,0.9972731294059678,0.0,0.0,0.00022397294406835655,0.0,0.0,1.0,1.0,1.0,182,143
2018-05,fr,ensighten,0.004122565135728326,0.003548655392292764,0.04582071644860881,0.0021139233274295836,0.04736902245329372,0.8608067188481975,4.906867394161001,0.3186310918128321,706.5896074958579,1.6682911500885562,0.2304176426898246,0.7650459921156373,0.0,0.0,0.16234931154659202,0.0,0.0,0.23455407644403817,0.0,0.0,1.0,1.0,1.0,183,190
2018-05,fr,visible_measures,0.004105276883373732,0.005045744385916274,0.027241015284343875,0.0,0.027241015284343875,0.9946068756597971,1.2090925781429294,0.032427594437049616,1.4403313902786066,1.1049249552485427,0.7926687933171157,0.0043317115711203925,0.0,0.0,0.994951117638959,0.0,0.0,2.2949465277459034e-05,0.0,0.0,1.0,1.0,1.0,184,154
2018-05,fr,parsely,0.004086504761947831,0.003081310150897065,0.4831958685640839,0.0255505795422452,0.4860834932766183,0.834321811653093,6.532729295269713,0.587086957273529,610.6572890910035,4.12584510573548,0.6069314520544787,0.9832679150888478,1.729116594331956e-05,0.0,0.5347754165730062,1.1527443962213038e-05,0.0,0.002132577133009412,0.0,0.0,1.4873342209465183,1.0,1.0,185,202
