month,country,tracker,reach,site_reach_top10k,site_avg_frequency,cookies,bad_qs,tracked,https,requests,requests_tracking,content_length,requests_failed,has_blocking,script,iframe,beacon,image,stylesheet,font,xhr,plugin,media,referer_leaked,referer_leaked_header,referer_leaked_url,hosts,trackers,companies,reach_rank,site_reach_rank
2018-11,eu,google_analytics,0.4658547600233902,8910,0.7377771168336177,0.039347098388702303,0.27391724120474337,0.2838114519722768,0.9605118351914935,4.525521317223649,0.919956078606224,12146.88904618876,1.9330896541073193,0.2542199671548375,0.9799539133857955,0.00011765689799079602,0.0364506778050668,0.4948724916483591,1.2720242446538318e-06,4.275711746735569e-08,0.005383110399860715,0.000580395801781253,0.0,0.5472108270941078,0.5031982644543963,0.4780023609625123,1.0,1.0,1.0,1,1
2018-11,eu,google_tag_manager,0.36476245301206905,6894,0.7602272051722356,0.0020846246766374433,0.01679264152335361,0.018430361986406227,1.1233689347728992,1.9428116325497202,0.03504486161450482,24373.48211304656,0.8535194990085815,0.0908210903840291,0.9966015020546727,0.003761443797672308,0.0,0.005704486008550702,2.8395673394930465e-06,2.184282568840805e-07,0.0017074809875949678,3.201339139957305e-05,0.0,0.5824031793543359,0.5823932545204137,6.0545582455056067e-05,1.1719109971473816,1.0,1.0,2,6
2018-11,eu,gstatic,0.35513519283718537,9017,0.3152031680340297,0.3133647308682962,0.00015090312759561932,0.31344225766559003,1.412844035153558,12.88560184211186,3.7263592625158592,176741.2546922712,3.652178288469683,0.0003630536870196781,0.5741339868337091,0.007025100061309128,0.013624959539957751,0.4036484231394368,0.13264609265222077,0.5300528023532475,0.01971999042700397,0.0007631250526169845,0.009815672152144454,0.3646377772476896,0.3646182167698048,0.00013202972026020736,1.0,1.0,1.0,3,3
2018-11,eu,google,0.30837248406024703,9036,0.4104540900560091,0.6707812422261694,0.01574349805592974,0.6727552269732852,1.5656423564076758,6.452998543418807,4.062024899608031,34638.660300949916,2.1798158291382674,0.4233931806628169,0.7902093863925853,0.27108396876252544,0.002294509797797929,0.35597287023263396,0.023922336856116097,1.324150040603769e-06,0.05295437494086742,8.301774827736557e-05,4.5925398969233164e-05,0.5505270868051565,0.5155847050141703,0.26013373237186904,1.4758738005562302,1.0,1.0,4,4
2018-11,eu,doubleclick,0.27683235134685313,8096,0.3919232833625248,0.4674667978972928,0.03985326206596066,0.4723383355595843,1.47542294841011,8.494437976170762,3.9037808983385847,41836.97211943997,4.302845675064542,0.5382492029441124,0.6891495169672774,0.2503739608755205,0.0004423781145133515,0.5214469291785251,0.0028723368317654,0.001586215056886771,0.2844639317303343,0.00028976818796794127,0.0016741582359155913,0.46981079211207427,0.44514261347269357,0.20954528321822893,1.032538562517383,1.0,1.0,5,8
2018-11,eu,google_fonts,0.2695428484062717,9190,0.38546954744635026,0.0002912125096455022,8.424342092136586e-06,0.0002996368517376388,0.9263953223027658,1.9813451442609464,0.0006477690938083007,6.737948923213895,0.5906975939044417,0.0006934563701106116,5.782497971137613e-06,1.8141894593153788e-05,0.0,5.9820218627934793e-05,0.9962411730999821,0.0011169088812813632,0.0038928589216812564,9.052472862164314e-07,0.0,0.7330414853031441,0.7330414483542752,1.2562615400554559e-06,1.0,1.0,1.0,6,2
2018-11,eu,facebook,0.2561662690555895,6291,0.575940819996772,0.4871673496802495,0.02240395743543951,0.49110225904565336,1.4384783718585963,5.807662823004619,2.5006260374668408,157193.0917581395,2.163003535901601,0.3122869275990051,0.9029323513302436,0.38573085174841837,0.04512788309644021,0.4125698681528744,0.03134722485298568,9.136395262075359e-07,0.08123237064497196,0.0002988573207641417,3.0325056614548002e-06,0.5642397446101488,0.5230681928101313,0.45953092036080284,1.515628328952529,1.0,1.0,7,5
2018-11,eu,googleapis.com,0.15558728445745793,6529,0.3550927616788199,0.000840592931670907,3.2965683811340018e-06,0.000843889500052041,0.9787512803807581,6.767919185554296,0.050220722856151964,4008798.33458684,1.233541194238546,0.09954874779690015,0.9045789718880171,0.022149610947321093,6.88438697846528e-05,0.10930399775807746,0.09314966049186336,0.0004448446983435096,0.04517553298469509,0.00045799896634978214,0.000573218832098155,0.783318736683304,0.7580869303161774,0.16196184481343534,1.0981188692629629,1.0,1.0,8,7
2018-11,eu,google_adservices,0.11883649402863326,3437,0.4738895767383936,0.2490211473407335,0.0018833896605653798,0.2495021563273759,0.9557682925362649,1.9971187230663356,0.3636668464461674,5978.184617987138,1.1262456462904042,0.4139469726876653,0.8919707619950856,0.0001141867313006866,8.799711402988692e-07,0.11353408603829827,1.0475846908319872e-06,4.190338763327949e-08,0.0005093775800701454,1.7515616030710825e-05,0.0,0.419201489883328,0.41408998894965765,0.03211316395341533,1.0,1.0,1.0,9,11
2018-11,eu,google_syndication,0.09720668480989475,3283,0.3509295710845283,0.17276271747337965,0.13790980688271678,0.23152942659053583,1.0984978571552981,12.879782518936231,5.5242099444796775,98954.15900840028,5.854243939022928,0.5919098007354214,0.7837899919982706,0.1733304714258344,0.00515092122343472,0.3930653385776593,0.008167040456375207,0.0010481138561061597,0.0027314994585257353,0.00036929876777464833,1.0450402084342941e-05,0.28127052300164235,0.2663978078744804,0.05680423630613121,1.0,1.0,1.0,10,10
