month,country,company,reach,site_reach,cookies,bad_qs,tracked,https,requests,requests_tracking,content_length,requests_failed,has_blocking,script,iframe,beacon,image,stylesheet,font,xhr,plugin,media,referer_leaked,referer_leaked_header,referer_leaked_url,hosts,trackers,companies,reach_rank,site_reach_rank
2018-08,fr,google,0.805409635754363,0.9328364415060604,0.39513281414022083,0.10173657319699671,0.43818122427930595,0.8780756202237834,31.768532035992855,4.439663708224996,8146253.573747134,9.90354335872807,0.47702799926730916,0.925609440041739,0.17389617164404506,0.009740191148107475,0.49607637411837013,0.395166554444043,0.22780563201509088,0.1276527636752508,0.0014887522131433806,0.006875283377924446,0.6032452523097598,0.5771740189445616,0.269987357446249,3.2852029962937515,3.0157900365656674,1.0,1,1
2018-08,fr,facebook,0.2908153997278721,0.3847169379820786,0.3015508060185663,0.007937862742645971,0.3025733249019997,0.8621772708261604,77.6290308563451,1.6666784542454947,2374915.5631561866,22.985321892523643,0.42933844785662706,0.9224008683373524,0.33471365881410314,0.004255101637326847,0.3342037924498843,0.15633126397029015,0.0021988120906696277,0.1728379464023077,0.0034961958804126552,0.020062780644838428,0.4257909224284084,0.39893496010493945,0.2926985486382828,1.4808377367977241,1.1030552654203767,1.0,2,2
2018-08,fr,amazon_associates,0.1583965990655932,0.17519075240649493,0.05589069955401867,0.002035916174083031,0.056384332495724734,0.8740740201513991,81.48989360823055,0.3610463601800924,9895353.967793057,26.75993128881285,0.41321681051341763,0.7259872855579016,0.15905703319715964,0.004764964613463174,0.46329074724498126,0.24990871036869206,0.09682760661409118,0.1789388918225739,0.08809882259985,0.011275253191005453,0.6342675699093636,0.633350738698383,0.008481869170940622,1.66127985702155,1.3618351104643889,1.0,3,3
2018-08,fr,at_internet,0.0917929932297125,0.02538514314226907,0.5719865639475432,0.22778753274477612,0.6556081327906765,0.8701711215858181,8.828547741170624,5.244665436318625,1620.6978008547253,4.0844251653704555,0.04672708408872086,0.1335161880395504,0.0005370890182610266,0.0,0.9555458684885595,3.395000115430004e-07,0.0,0.0014496650492886118,3.666600124664404e-05,0.0,0.5678629968073419,0.5447542495216445,0.35807473617454105,1.0865154669415258,1.0,1.0,4,28
2018-08,fr,twitter,0.08886846487784615,0.15750847210960728,0.3352758249218702,0.013394284880687207,0.33853111727047785,0.7951382070257926,23.729867544002378,1.7264786454505159,656951.7829365592,8.014948815849273,0.5825458399025972,0.9289509563539042,0.4246411919496827,0.0,0.2582306330619596,0.12748135825258516,0.04504703218892548,0.28887800245751255,0.0005116311038046558,0.018975236914306876,0.4884400827025905,0.46928319745944824,0.331889731749603,1.1714041345684485,1.0,1.0,5,4
2018-08,fr,appnexus,0.08163492864894388,0.04635231501694422,0.4348865263117711,0.005421541867878071,0.4364276306999294,0.8290122349258461,6.4328522074402095,2.8299734687255444,1277.4053871848218,3.5635070909125615,0.4978313069038575,0.5411318737951175,0.06614380332499857,0.0038651676814720087,0.5493096142467218,0.0011635586264816477,1.145234868584299e-06,0.22307228340745547,7.634899123895326e-06,2.481342215265981e-05,0.36320894810177323,0.3589345498272604,0.03127331030138764,1.0000087801339925,1.0,1.0,6,17
2018-08,fr,criteo,0.08132631430739266,0.04857689349050916,0.19269157859281352,0.00462284745791289,0.19289543758217106,0.8977244815103346,3.2848917880464295,0.4530424996177644,620.1267374476319,2.309390120579527,0.5889206471220054,0.9498564365218745,0.14515066597129803,1.6860517916791046e-05,0.19184855269697396,1.7626905094827e-05,0.00012951943308807666,0.09285355452289142,0.0,1.5327743560719132e-06,0.3716368535667851,0.3635461041282595,0.07122802432666181,1.3920185373730622,1.0249773245193698,1.0,7,16
2018-08,fr,comscore,0.06696457523083046,0.052880517266471236,0.47250999279132205,0.008619698724729489,0.4738851795817105,0.8196890449036881,8.90633418947049,4.285817333310375,403.9835768724762,4.552500257120373,0.33377714714126355,0.7758962099293606,0.0,0.0,0.5922824796549142,4.653762404021968e-07,0.0,0.0002615414471060346,0.001655808663351016,0.0,0.4517965617072607,0.3240214650137123,0.44052003002607504,1.0021774954288418,1.0021425922108118,1.0,8,14
2018-08,fr,microsoft,0.06696445057594143,0.07553171583608807,0.4996311886429371,0.019597029963305014,0.5002245444539847,0.9504275652167843,23.169021707515142,2.562335634623126,401088.3537331388,10.43545661638267,0.2578393937067054,0.7853452749098914,0.13623868261048636,0.025824706405217807,0.5158035084780075,0.13536889279805658,0.04971344404654702,0.13202003913821467,0.0007441379936196799,0.005914943026207712,0.5927610591052195,0.5311939947738151,0.3675832268783202,1.5692762687925093,1.3477451315737425,1.0,9,10
2018-08,fr,cloudflare,0.061313937946733905,0.14434811534543338,0.5299307031641523,0.0007390171580063411,0.5301797529629302,0.9257663872226272,3.0282661356315037,1.2555794778899687,3683.077526661035,0.8362182448799935,0.020466302545695557,0.7855259372658805,2.4904979877792788e-05,0.0,0.026268146327430346,0.4826229314889417,0.037515031934283384,0.003639176651530538,0.00020330595818606357,0.0,0.7687928403773765,0.7687852164039446,2.6429774564188264e-05,1.0,1.0,1.0,10,5
2018-08,fr,oracle,0.0601724108003115,0.10165492006070813,0.349655177414276,0.014941621505162499,0.3524575730456255,0.8557084762757089,3.6631117519349012,1.2857749548384958,14476.099558846683,1.8552708447272908,0.47512647292795707,0.6742555602512471,0.545022187142644,0.06251450140042096,0.13767163443212516,0.0009120345050464873,1.0358143157824956e-06,0.156521383350735,6.836374484164471e-05,1.1393957473607451e-05,0.40043234889540763,0.37166001673875937,0.3197724523111089,1.2707473607451234,1.0160861963241021,1.0,11,7
