month,country,host_tld,reach,site_reach,cookies,bad_qs,tracked,https,requests,requests_tracking,content_length,requests_failed,has_blocking,script,iframe,beacon,image,stylesheet,font,xhr,plugin,media,hosts,trackers,companies,reach_rank,site_reach_rank
2018-07,fr,google-analytics.com,0.49483858770501726,0.7156331006979063,0.00030422655688957335,0.15530893265838652,0.15549534294839998,0.8723449373509071,3.0264359986397014,0.3693076698389736,7709.75198152277,1.4651691614783964,0.34139169482870696,0.9800474119130377,0.00017841339887383092,0.012296047391782932,0.40210195526056525,1.2408969009771857e-06,0.0,0.004766353935370091,0.0008373296532927165,0.0,1.0,1.0,1.0,1,1
2018-07,fr,gstatic.com,0.3696221884816597,0.5039481555333998,0.33042561189560665,8.232534774383786e-05,0.3304540381367559,0.9741796514444453,12.892631226096693,4.417157580775518,194480.00189671325,2.881525702813432,0.0004889682649628396,0.6015786346894835,0.007044631690515022,0.001227589069888775,0.42216466010937276,0.10863097284472563,0.5194243058574947,0.026399210193502408,0.0013187745447440571,0.015499777158573848,1.0,1.0,1.0,2,3
2018-07,fr,google.com,0.2809993806346182,0.4122233300099701,0.6242385592838132,0.005801013720592033,0.6246153872301702,0.9643084205628115,6.265126868038957,4.547860244906601,55989.71796127826,1.4911656062917642,0.4236778334723979,0.8379100811309111,0.2621419876533003,0.0005690053429686686,0.2931992146342298,0.03131981681597139,0.0,0.0964275278156447,0.0002125727236053208,7.988169739137698e-05,1.0,1.0,1.0,3,4
2018-07,fr,fonts.googleapis.com,0.2752369901544238,0.5318444666001994,0.0008617716105684706,0.0,0.0008617716105684706,0.8860723801393187,1.871223087298964,0.0015864629102943224,10.252135310908928,0.5005538366808321,0.00021652739877220164,1.983078637867903e-06,7.981891517418309e-05,0.0,2.937435232341831e-05,0.995063001788613,0.002692648962980012,0.0016818985697417152,0.0,0.0,1.0,1.0,1.0,4,2
2018-07,fr,facebook.net,0.25589219248931805,0.318703888334995,0.0004247324958486598,0.00046819225531088927,0.0008509314252988058,0.8316090296048948,1.707139878568633,0.0019406249033486944,23745.590133274818,1.075484936260797,0.3371726786889337,0.9991034758209095,0.001839307672700552,0.0,0.0002607585567733768,0.0,0.0,0.0010346355619213587,0.00021689886087437836,0.0,1.0,1.0,1.0,5,6
2018-07,fr,doubleclick.net,0.25234199667079166,0.3250348953140578,0.36407821852877376,0.009109218423056967,0.36552824192976674,0.9816646257828382,4.284993947646125,1.002297379981025,2333.2787127209745,3.2264299547851176,0.6809595677886616,0.590849927850318,0.24654886048925514,0.0009035946683047813,0.47647152500661744,0.0001812867220521711,2.5685665316862425e-06,0.2567850036811614,0.00020967614161291378,2.5685665316862425e-06,1.0,1.0,1.0,6,5
2018-07,fr,googletagmanager.com,0.2298850210050694,0.27770687936191424,0.0027292608009620674,0.029597017044969736,0.03201331508879669,0.9166941813708956,1.5267286369529625,0.051141586933381965,19913.680510136714,0.8075765775645324,0.033579167631845395,0.9964674829617822,0.004586262196310007,0.0,0.005699810100312799,2.8194842985145326e-06,0.0,0.0009282039098530737,1.038757373136933e-06,0.0,1.0,1.0,1.0,7,8
2018-07,fr,facebook.com,0.1494420935668828,0.27835493519441673,0.6633323646965447,0.01497125933663522,0.6664037727071328,0.7814431257642852,6.585045587182218,3.87671817942547,73015.87922096036,2.2068624682615465,0.2701583549945021,0.22160522671236987,0.7209810152515781,0.0003844110806265718,0.4934769959415412,0.1298770729150664,9.130904527947074e-07,0.2661074292006783,0.00045220804674657883,1.5522537697510026e-05,1.0,1.0,1.0,8,7
2018-07,fr,googletagservices.com,0.12524266664701728,0.08428713858424726,0.001714356688605929,0.0001797704821226427,0.0017268861464508403,0.8922926946723656,1.2767389525591146,0.0035008939495792825,3551.6429989747635,0.790453806067962,0.2591451423291935,0.9987032011130517,4.3308343420454833e-05,0.0,2.723795183676404e-07,5.175210848985168e-06,0.0,0.001223528796507441,5.447590367352808e-07,0.0,1.0,1.0,1.0,9,20
2018-07,fr,googleadservices.com,0.114556601112729,0.11673978065802593,0.2636864677564502,0.00014621371979019077,0.26371029076578467,0.9034867356461902,1.6704238530263262,0.31944868791798214,2224.1453939104813,1.1866666785781714,0.5549361573128598,0.8275851389685471,0.0004499570888044363,0.0,0.1732593867123592,0.0,0.0,0.0019064363219894118,5.9557523336126585e-06,0.0,1.0,1.0,1.0,10,16
