month,country,company,reach,site_reach,cookies,bad_qs,tracked,https,requests,requests_tracking,content_length,requests_failed,has_blocking,script,iframe,beacon,image,stylesheet,font,xhr,plugin,media,hosts,trackers,companies,reach_rank,site_reach_rank
2018-07,fr,iadvize,0.023464280192766047,0.00711864406779661,0.40652982063855986,0.041883956622939714,0.4072044069092754,0.9745707145235225,6.836171490297734,2.6021438467991316,4343.686153099099,2.985209986784506,0.644753274433035,0.9991436825141132,0.35910815042692296,0.0,0.012091668132631803,0.01283313149053035,0.0002835006956670917,0.21874913677672794,2.9076994427394018e-06,0.0,1.0,1.0,1.0,38,92
2018-07,fr,linkedin,0.022435347683124537,0.0353938185443669,0.3141027298009479,0.001067409494470606,0.3141985229607081,0.9087562550652534,14.42503424985593,1.9621936329479812,2417656.9901120174,3.85714198827066,0.502786364527945,0.721395478258754,0.034333484879125756,3.041052690799447e-05,0.4482085918861673,0.13682152213810334,0.016242262421559846,0.13280733258624805,2.8890000562594746e-05,0.07748602256156992,1.2050642650459884,1.0,1.0,39,22
2018-07,fr,pinterest,0.02183975943679369,0.0410468594217348,0.40273161222602655,0.002400782245770125,0.4031517881688451,0.7979484792442456,21.76597605778122,3.0175208682178294,358035.86455495714,5.860178254567265,0.2017047584535026,0.7745342138804888,0.002638205083347912,0.0,0.44594881663459374,0.04003074000949691,1.5619923524854422e-06,0.01897976907505061,4.3735785869592384e-05,0.00011246344937895184,1.0919404318596455,1.0,1.0,40,20
2018-07,fr,woopic.com,0.021793092117876188,0.001296111665004985,0.007255337799762069,0.0,0.007255337799762069,0.9959661261035627,37.54185555068562,0.028249639972450065,309610.6550685618,10.884521946027174,0.09673314131864004,0.9907488573038633,1.0957360215390395e-05,0.0,0.7339083338551123,0.9833385511239121,0.37232170809592385,0.07113518251831444,0.4717378373301609,5.478680107695197e-05,1.0,1.0,1.0,41,214
2018-07,fr,kaspersky-labs.com,0.0217000986154134,0.08294117647058824,0.10869435352782678,0.0004213081303036877,0.10905120780237505,0.7629780196631422,10.00449919354078,0.35185674265933464,382465.50995261857,0.7229002977453727,0.011607982217023992,0.9845342187092251,0.005027400748922363,0.0,0.02600791681994108,0.2507019182096291,0.0,0.026652455377495228,1.100431683629035e-05,0.0,1.0,1.0,1.0,42,9
2018-07,fr,chartbeat,0.021667076711384056,0.010927218344965104,0.003984910555998148,0.0018420961479722773,0.005027190598696992,0.7041530608710438,4.5941389853671435,0.031348697779723086,287.0292846054293,1.6213295840641364,0.4784647939213976,0.8893592969175591,0.00018106073249300162,0.0,0.40095977932632815,0.0,0.0,0.03503603895797187,0.0,0.0,1.292084024775406,1.0,1.0,43,61
2018-07,fr,hotjar,0.021533181077794013,0.04275174476570289,0.0012863957314474645,0.0,0.0012863957314474645,0.9334813005270737,1.189372660288552,0.004109495723367885,2672.353071269809,1.0569990542139758,0.9499874053619889,0.9970881830610832,0.03422256230385237,0.0,0.00024080314184730863,4.752693589091617e-06,0.0011691626229165379,0.014232733068133031,0.0,0.0,1.0,1.0,1.0,44,19
2018-07,fr,contentsquare.net,0.020899249215627438,0.003998005982053838,0.0013156219496668505,0.01842033958063326,0.019272392505851742,0.9809920377123195,3.3860615893888397,0.05660438954162164,23373.79814180642,0.5973348045664814,5.060084421795579e-05,0.7869557552747299,0.0,0.0,0.6163427668541618,0.0,0.0,0.004805447915408447,0.0,0.0,1.0,1.0,1.0,45,135
2018-07,fr,yandex,0.020898089355361946,0.044885343968095716,0.45036597867464134,0.01418697886399697,0.45116257810918636,0.896254350281748,12.453056134142122,4.86793589333403,180214.0002840334,6.494332390908319,0.5452608863148135,0.9343572683168899,0.04890598167821301,0.16942755842273313,0.3886376843768568,0.020982559695986315,0.01214650900092066,0.44114631964531736,0.0003868730860392684,0.002094338267461525,1.1640325561047593,1.017267272169297,1.0,46,17
2018-07,fr,orange_mobile,0.019596282661494508,0.0013160518444666,0.05048194511901094,3.829796864092695e-05,0.050483685935767346,0.993294373854325,1.8081236954754432,0.31891762977353716,232749.0178903738,1.3097400438337659,0.9350013839493213,0.9948489232177953,0.0004299817388322253,0.0,0.029019415329284193,0.002760935375659552,3.655715188452118e-05,0.0036383070208880603,1.7408167564057705e-05,0.0,1.0032831804025812,1.0,1.0,47,212
2018-07,fr,onfocus,0.017431130567653354,0.0007976071784646061,0.5703851859390106,0.0,0.5703851859390106,0.7940443153663396,2.327045994512441,0.6408251691866905,4775.501411030698,1.6466552114197592,0.7410337903689815,0.9993952725578992,0.5207662229389363,0.0,0.0,0.0,0.0,0.0008845851256619711,0.0,0.0,1.5652381530175703,1.0,1.0,48,232
2018-07,fr,digiteka,0.017063011387508088,0.0025523429710867396,0.8102154611412223,0.005667925539252634,0.8102494487017752,0.9050067675230865,21.51379794995032,8.16502560063017,34708876.29737916,5.785076661941729,0.5499447202323949,0.8950524108176408,0.45915394965442646,0.0,0.5757892611304263,0.002321150458932031,1.799341441032582e-05,0.7336814725810353,1.9992682678139803e-06,0.4155818970256886,1.8791062471135564,1.4366941699338043,1.0,49,175
2018-07,fr,tradelab,0.016385755333071614,0.0044765702891326024,0.48343222367955363,0.042712301959069804,0.4835154997605813,0.6518164595174151,8.784979076884643,5.816959173901276,13308.90169675015,2.7458268273895032,0.5671684050548581,0.9987633501967398,0.0009764120500489247,0.0,0.39838860783211544,0.0001228322195157496,4.163804051381342e-06,0.0018258280765307184,8.119417900193617e-05,0.0,1.0,1.0,1.0,50,125
2018-07,fr,jsdelivr,0.016279014075109004,0.03456630109670987,0.000930425543953177,0.0006957236049379611,0.0014815559900335498,0.941244884231173,3.4601687758407884,0.004662605484900492,23721.310814520508,0.9167604426646214,0.029281162445175094,0.8409559074687606,8.382212107686279e-06,0.0,0.03214578343297688,0.34663590394823146,0.032950475795314765,0.02159886504848062,0.00012154207556145104,0.0,1.0,1.0,1.0,51,23
2018-07,fr,le_monde.fr,0.014943366752318936,0.0014257228315054835,0.05409224559865586,0.0,0.05409224559865586,0.97647061509241,114.31116909562422,4.895611896413178,1002282.3727491051,20.603805975600846,0.8110184272043246,0.9850815435751333,2.05456936226167e-05,0.0,0.8862910000730514,0.8889459602600628,0.36581607495069035,0.0009154247936299218,0.0,9.131419387829645e-06,1.0,1.0,1.0,52,207
