month,country,host_tld,reach,site_reach,cookies,bad_qs,tracked,https,requests,requests_tracking,content_length,requests_failed,has_blocking,script,iframe,beacon,image,stylesheet,font,xhr,plugin,media,hosts,trackers,companies,reach_rank,site_reach_rank
2018-05,fr,estat.com,0.04590615126382307,0.01115291694720583,0.44335762932923145,0.013316449617191837,0.44403848502168786,0.6339992755326015,4.3886895862429185,1.008118447341174,791.0937348962401,3.225563334971765,0.3354222485374686,0.8147800584704707,0.03385345851090139,0.0,0.5300469261956534,5.643867834981514e-06,0.0,0.1487487545009846,0.0008080992581905349,1.2313893458141485e-05,1.0,1.0,1.0,32,101
2018-05,fr,newrelic.com,0.045395182126792326,0.05568537367816547,0.0029429405745998076,0.0,0.0029429405745998076,0.9864771050430545,1.2792996922157354,0.0032713752332249276,5308.506998304385,0.7155937455248832,0.12754679545317757,0.9992201622560607,1.0377082421014837e-06,0.0,6.226249452608902e-06,1.5565623631522256e-06,0.0,0.0018383001508827785,0.0,0.0,1.0,1.0,1.0,33,27
2018-05,fr,cloudfront.net,0.044718891132436114,0.06081825022773179,0.00594223882617345,0.0,0.00594223882617345,0.8053803543748561,8.239850079874182,0.08346364789838466,490984.1606732501,2.565847875104484,0.14441926229227578,0.6787156505466365,0.05536679182834188,0.0008685296777486278,0.31788870916685935,0.07575906807660969,0.02202978914585452,0.16352006809188402,0.005215918374011317,0.005007871543986631,1.0,1.103761644697097,1.103761644697097,34,26
2018-05,fr,ggpht.com,0.04368649511444352,0.01566794724543546,0.0005407652340251857,0.0002895223635807824,0.00068687428529221,0.9981011214813194,34.881971383113566,0.0215502763402001,398411.86721922125,7.564832791399946,0.0004280833457786615,1.6174433719596782e-06,0.0,0.0,0.999639310128053,0.0,0.0,9.866404568954037e-05,2.9653128485927432e-05,0.0,1.0,1.0,1.0,35,75
2018-05,fr,bootstrapcdn.com,0.04215309308032753,0.10869341360053864,0.001875758517184116,0.0005431150666377601,0.002335618290685018,0.7921774667593464,1.9692950008828414,0.00466509021744718,26259.36923890134,0.5167521942519204,0.000782264499272494,0.3086100500872784,0.0,0.0,0.0013583464269510234,0.840385634047727,0.2581277281474412,0.0008537858249202649,6.1463639228553105e-06,0.0,1.0,1.0,1.0,36,18
2018-05,fr,bing.com,0.04152369705932009,0.043296764228286266,0.7286696079421244,0.030827803788414217,0.729467133005172,0.9318161449476277,2.909691914820239,1.805216131561005,15975.205000243908,1.0859557311194734,0.2762817407601106,0.7262543435619988,0.021729438204286668,0.024919538456477028,0.7351309223042689,0.024169660694493448,0.0,0.09239435629063493,0.00014634528183945809,0.00010890811671773626,1.0,1.0,1.0,37,33
2018-05,fr,ligatus.com,0.03853737522309854,0.005473484098380134,0.00887074347636088,0.00292941115352058,0.011116238276701922,0.7795949675002215,1.7958977242515273,0.048231688124363986,1026.1424544590552,1.5151326424902134,0.8996904346444277,0.9770897189464388,0.006688200762148072,0.0,0.03780486686856154,4.278297115510966e-06,2.383622678641824e-05,0.01592932253165176,0.0,0.0,1.0,1.0,1.0,38,183
2018-05,fr,nuggad.net,0.03699813192660661,0.0057824072240484775,0.23180720314435702,0.0003832407910802934,0.23194598469328642,0.6628754263712954,1.1602996917521744,0.2713784063549217,55.76615118021612,0.8874723550974208,0.1452641751346754,0.9870703978956133,0.0062330740622377956,0.0,0.018459219232830875,6.366126097679293e-07,0.0,0.007342053228453528,1.4642090024662373e-05,0.0,1.0,1.0,1.0,39,171
2018-05,fr,acpm.fr,0.0367571563001218,0.0022971206780466554,0.7571401200705121,0.0002857906308091271,0.7571497318630281,0.9998212206592023,2.537300483216849,1.4254999573877198,3753.4669562592953,0.711857683955291,7.689434012801627e-06,0.9972811442903069,0.0,0.0,0.7404053485139849,0.0,0.0,0.31757939180421674,0.0,0.0,1.0,1.0,1.0,40,298
2018-05,fr,googlevideo.com,0.0342297268625713,0.027771396887005424,0.0002153753207406434,0.0,0.0002153753207406434,0.9954034915573562,193.95337296330982,0.028342841729415657,142703227.6829909,60.67172397278702,7.293860702398785e-05,0.0,2.1331102054185126e-05,0.0,0.6712423027406338,0.0,0.0,0.9680969285277342,1.720250165660091e-05,0.011454801803097414,1.0,1.0,1.0,41,47
2018-05,fr,taboola.com,0.03289346743364326,0.02133945898847479,0.031388914348563314,0.0019712948535814123,0.03162950827184822,0.6523618303469135,2.1986639876724254,0.3066147575729802,7478.397308641905,1.876550971541176,0.9416695786169287,0.9258949234682187,0.0011313642821135603,0.0,0.16616590669538517,0.001114179001878924,0.0,0.05087200976123917,1.4321066862196965e-06,0.00032365611108565144,1.0,1.0,1.0,42,53
2018-05,fr,addthis.com,0.030512611285469653,0.08779753653610044,0.4828798396864128,0.06377806819348479,0.4844113408277054,0.5886676634804135,4.421345760312352,2.2799682892808044,39046.29875542375,1.8548802318248099,0.1472587750615418,0.9242246582490712,0.44968856646398464,0.2057877466014029,0.032802994455255696,0.002450864981655179,0.0,0.3496577666174435,0.00017522719711361438,0.0,1.0,1.0,1.0,43,20
2018-05,fr,adsafeprotected.com,0.029535448171797932,0.006503227850607945,0.00018740420455288546,0.01010467521655154,0.010229079709786646,0.7515801763034959,2.3621662012131033,0.08941812190683379,4063.5920704894997,1.7347074181761344,0.9205717183928853,0.9914902541838986,2.8708729208101603e-05,7.974647002250445e-07,0.03339861911012509,0.0,0.0,0.027341874711915876,6.778449951912879e-05,0.0,1.0,1.0,1.0,44,156
2018-05,fr,bluekai.com,0.029063036077143858,0.021331537882688423,0.5622785000936044,0.04931693136572395,0.5668152720158649,0.9019666638841997,3.081284235487476,1.5291968584596858,331.2364794390547,1.516107647434957,0.3072621578274714,0.06176509441072617,0.6902101194812941,8.104272815756652e-07,0.4983657733867027,1.4587691068361972e-05,0.0,6.078204611817489e-05,0.0,0.0,1.0,1.0,1.0,45,54
2018-05,fr,kameleoon.com,0.028296653032029714,0.004720979048675195,0.30317992906484964,0.0026477905806577273,0.3054456586972138,0.6502311094167619,15.358761057085234,0.4012613837931244,10552.020816911232,1.921509365487494,0.16347630514600306,0.6412855560152125,0.0,0.0,0.009941908423569915,3.329507174671773e-06,0.0,0.6687764643796836,0.0,0.0,1.0,1.0,1.0,46,205
