month,country,host_tld,reach,site_reach,cookies,bad_qs,tracked,https,requests,requests_tracking,content_length,requests_failed,has_blocking,script,iframe,beacon,image,stylesheet,font,xhr,plugin,media,hosts,trackers,companies,reach_rank,site_reach_rank
2017-08,global,kpcustomer.de,0.001816246660139425,0.0020862894954972676,0.9811851035180784,0.00048799443324868736,0.9812212512538746,0.7701817327417154,1.1463260345030137,1.12420362019574,323.42838681692075,0.026866804630524956,0.0,0.9962225616092972,0.006280669094589588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,417,513
2017-08,global,congstar.de,0.0018147530497390645,0.005008499697944618,0.9205813722120725,9.044371687498869e-06,0.9205813722120725,0.9956315684749381,1.3922996219452635,1.2993687028562126,452.06999439248955,0.07751930973355281,0.0,0.00013566557531248305,0.9662464048622542,0.0,0.03111263860499611,9.044371687498869e-06,0.0,8.139934518748982e-05,1.8088743374997738e-05,0.0,1.0,1.0,1.0,418,307
2017-08,global,gfx.ms,0.0018147366364379617,0.00044957080037651555,0.002577669244335911,0.0,0.002577669244335911,0.9958485958485959,5.682250260028038,0.006448695337584226,133437.0145887035,0.0240763351874463,0.0,0.9979107312440646,0.0,0.0,0.4595396373174151,0.4937095825984715,0.0,0.2454845565956677,0.001492334825668159,0.0,1.0,1.0,1.0,419,714
2017-08,global,smaato.net,0.001803624831591324,0.0025639584708973154,0.9265888905066977,0.02103960396039604,0.927134900990099,0.8772204426324985,1.2027791933605125,1.121432731508445,99.66128239662201,0.07534034653465346,0.0,0.028019437973209084,9.100174723354689e-06,0.0,0.972572073383809,9.100174723354689e-06,0.0,0.000728013977868375,0.0,0.0,1.0,1.0,1.0,420,468
2017-08,global,vtracy.de,0.0018033458054725754,0.0017912586577501792,0.9841268396574164,0.21568020678796043,0.9843452776437822,0.9833167987913098,4.97861128050168,4.696225573627253,21513.30270954119,0.052434218310564204,0.0,0.9688452821945737,0.011467994284206024,0.0,0.9593523313704253,0.0,0.0,0.0,0.0002548443174268005,0.0,1.0,1.0,1.0,421,537
2017-08,global,adriver.ru,0.0018030996059560324,0.005612610460950561,0.6425775560734052,0.0035501019516457908,0.6436972036120011,0.7435005825808331,4.185124162540053,3.4204959219341684,9264.711203757646,0.3548736527818235,0.0,0.6395554180017478,0.3834292164287795,0.0,0.41408753277017185,1.8205651034080977e-05,0.0,0.06665999126128751,0.0014655549082435188,0.0,1.0,1.0,1.0,422,273
2017-08,global,yahooapis.com,0.0017979458294097336,0.003989940853341575,0.5913530883131585,0.01819393474648993,0.6026364316883022,0.6431779591389604,2.0885870259809023,0.8641069178945062,9968.666931405305,0.035055047379087476,0.0,0.4088933924887258,4.564459294152015e-05,0.0,0.5128626462909204,0.07293093060196089,0.0,0.04094319986854357,2.7386755764912087e-05,0.0,1.0,1.0,1.0,423,347
2017-08,global,bidtheatre.com,0.0017944497962748241,0.005956813104988831,0.9656632732394882,0.001856780908999442,0.9656907133514439,0.25844012110236075,1.605886818684887,1.5172003768442042,98.32400369526842,0.09426593127166626,0.0,0.010518709583001766,0.5970602493391506,0.0,0.3631424416211618,5.488022391131356e-05,0.0,7.317363188175142e-05,0.04832203715391159,0.0,1.0,1.0,1.0,424,258
2017-08,global,vimeocdn.com,0.0017869817442730217,0.0215161775242698,0.00012858901115050426,0.0006245751970167349,0.0007531642081672392,0.9351176589452027,19.52053750206661,0.0011389312416187518,58262293.748039015,1.776576593125999,0.0,0.7550930433344968,1.836985873578632e-05,0.25215386593677097,0.5821500082664365,0.616483274243621,0.0021860131895585725,0.1430277201168323,0.015063284163344784,0.21982291456178701,1.0,1.0,1.0,425,88
2017-08,global,wbtrk.net,0.0017839945234723008,0.0016015959763413367,0.7150388253045302,4.6001545651933903e-05,0.7150388253045302,0.6214532808302359,2.706280131012402,0.979400507857064,89.12712987156368,0.2574890516321348,0.0,0.9929157619696022,0.0,0.0,0.004876163839104994,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,426,557
2017-08,global,justpremium.com,0.0017833215781270836,0.002929234746203234,0.9008016493175397,0.035968375808782246,0.9010869665258489,0.4859136133123487,14.080799992636976,7.104987528876863,5993.445720702064,0.7388427165879743,0.0,0.9865348685239896,0.0,0.0,0.871331142833476,0.0,0.0,0.8319389605249836,0.0,0.0,1.0,1.0,1.0,427,419
2017-08,global,whatsbroadcast.com,0.0017782826946885048,0.001137976088453055,0.0019475005537916267,0.0,0.0019475005537916267,0.9881673189101381,3.414356124935391,0.005500996824928007,13170.00227977553,0.10588495901941963,0.0,0.0001753673484456915,0.7454865982426345,0.0,0.6076847818060991,0.0038396219449161927,1.8459720889020157e-05,0.25260282064535183,0.0,0.0,1.0,1.0,1.0,428,611
2017-08,global,tumblr.com,0.0017782170414840934,0.006596046586774189,0.44605870407974896,0.00038766845117223556,0.446132545689496,0.696824810780875,4.309645560273214,2.4591748200110763,1158034.5458741,0.24495107993354256,0.0,0.2786413143806535,0.03853609008676389,0.0023075503045966402,0.7433542551227617,0.01655898098578549,0.005021229462802289,0.0055750415359054825,0.0008491785120915636,0.007550304596640207,1.0,1.003461325456895,1.003461325456895,429,242
2017-08,global,netzathleten-media.de,0.0017721933599793428,0.0037721799969092007,0.001685606586831893,0.00025006251562890725,0.0017226528854435831,0.362173876802534,2.3517546053179963,0.024357941337186148,16861.698193066786,0.3920795013568207,0.0,0.991044057310624,0.0014725903698146758,0.0,0.0013892361979383734,0.0002037546423642948,0.0,0.0077426764098432015,0.001796745482666963,0.00014818519444675983,1.0,1.0,1.0,430,361
2017-08,global,gssprt.jp,0.0017578645481165442,0.0019106759016001911,0.9538281979458451,0.00711484593837535,0.9544164332399626,0.8458823529411764,1.9441176470588235,1.871811391223156,52.657731092436975,0.11302521008403361,0.0,0.0,0.0016806722689075631,0.0,0.9977404295051354,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,431,529
2017-08,global,smartstream.tv,0.0017425673514886765,0.002282976720661993,0.7245591892095546,0.025949438625574563,0.7262828724286037,0.9167734157184839,3.835505990505614,2.405885012433125,375.9642641850652,0.1241146108055158,0.0,0.0072055609976640796,3.7676135935498456e-05,0.0,0.8603910782910105,0.012668600708311356,0.0,0.14078630095697386,0.028709215582849824,0.00022605681561299073,1.0,1.0,1.0,432,497
