month,country,host_tld,reach,site_reach,cookies,bad_qs,tracked,https,requests,requests_tracking,content_length,requests_failed,has_blocking,script,iframe,beacon,image,stylesheet,font,xhr,plugin,media,referer_leaked,referer_leaked_header,referer_leaked_url,hosts,trackers,companies,reach_rank,site_reach_rank
2018-09,de,google-analytics.com,0.43277601248359654,0.6295300313610394,0.0015078876683259877,0.1862913075988203,0.18727247904108352,0.914780388681708,3.654205949242237,0.528615643585386,9666.255179157015,1.4737666487226229,0.27671938522540357,0.9800453877540747,0.00011625718503187195,0.04514420197720771,0.44553028517722437,4.6420348947952424e-07,0.0,0.005477652754023884,0.0008546502022973018,0.0,0.48911806443237277,0.4513293730586301,0.41586830113746875,1.0,1.0,1.0,1,1
2018-09,de,gstatic.com,0.32768695399918246,0.38586741953025483,0.30506583862710807,0.00012956283238792882,0.3051309606396017,0.9933556473863729,11.37228204152877,3.632654697476917,168021.22954426307,2.3829574194680485,0.0005028563768074083,0.6041700158636133,0.006317175808180524,0.010669383444404058,0.37773233163507475,0.11098057947147083,0.47000307081623766,0.022839706662118115,0.0009286017513734205,0.0054118708437033555,0.3899606924622497,0.3899507470502998,0.00010715159587077395,1.0,1.0,1.0,2,3
2018-09,de,google.com,0.2748588598622,0.3370380578503162,0.6427499432329262,0.003388807514628688,0.6431600630073913,0.9803182302056705,4.802976673686618,3.1881645767612654,105123.68853831364,1.3642833266577203,0.4245393420996638,0.8203715993761631,0.24248676815547454,0.00014983583839364286,0.33580087377439155,0.018591500888944762,1.7866604036098337e-06,0.047675489845434384,0.00013375589476115435,4.750892436871603e-05,0.5635250354976937,0.5385228346569239,0.20902741029421748,1.0,1.0,1.0,3,4
2018-09,de,doubleclick.net,0.2517611615493101,0.26072867859031756,0.41263225352956845,0.01985669290724228,0.41446818946411984,0.9717972329474384,6.617108365881364,3.095310228575664,20202.923061720856,3.415979354387503,0.5784099005596027,0.6656818914493459,0.22059736232386737,9.5400930389594e-05,0.5153674407618739,7.49198756312332e-05,6.206380229806301e-07,0.25359730664377045,7.128471006806094e-05,7.624981425190598e-06,0.4059370765253775,0.3865617327362441,0.15464171630884224,1.0,1.0,1.0,4,6
2018-09,de,fonts.googleapis.com,0.23467599437839043,0.4993928919943684,9.682961022847888e-05,0.0018294899048473111,0.0019255585751132872,0.9191177890356732,1.7630963712390186,0.002200353019072104,10.418969358184237,0.49420006804705613,0.0005077371899799806,8.180104596904896e-06,3.804699812513905e-07,0.0,3.719094066732342e-05,0.9958807466304865,0.00017644295380533234,0.0013675993476081232,9.511749531284762e-08,0.0,0.6858069383076486,0.6858066529551626,4.755874765642381e-07,1.0,1.0,1.0,5,2
2018-09,de,googletagmanager.com,0.23271924370015948,0.27117987530076054,0.0013002544109471522,0.018422061277318675,0.019467175769918275,0.9749549476617865,1.396938723832332,0.03167399026938555,22570.38218847128,0.6499077467768922,0.030294220447795495,0.9908906416596296,0.008999437157503435,0.0,0.00713490149105303,1.0550898879034137e-06,0.0,0.0006756411973083314,3.357104188783589e-06,0.0,0.5315166859588254,0.531484265924088,0.00016632053323859265,1.0,1.0,1.0,6,5
2018-09,de,facebook.net,0.17955625570586878,0.23414256236824266,0.0001473149702218638,0.016335303292930908,0.01646260331783149,0.9321516973730322,1.9421017358427517,0.021858060720868714,29676.41311829243,0.8785181083663839,0.2691824914230987,0.999076453237318,0.004689340077416814,0.0,0.0008160130502416152,0.0,0.0,0.0004946550772259883,2.772256401643513e-05,0.0,0.5241112338666798,0.5241111095502493,3.8538093475761836e-06,1.0,1.0,1.0,7,7
2018-09,de,googletagservices.com,0.1663524018662001,0.0619920591762699,0.00019309044818185015,1.3150009674649975e-05,0.00019792106398070115,0.9458255831022913,1.4418161719892448,0.00027279560886289185,5687.018511322292,0.6724336615557857,0.2186164955331564,0.9993987225168153,2.683675443806117e-07,0.0,1.5833685118456093e-05,1.7443890384739764e-06,0.0,0.0005348565159505592,6.481076196791773e-05,0.0,0.47682914621817796,0.47682914621817796,1.2076539497127528e-06,1.0,1.0,1.0,8,21
2018-09,de,ioam.de,0.16287859518422051,0.014920703500368735,0.5128465163422752,0.2831168606912415,0.5339868946045426,0.9335844191226835,3.7792445005661355,2.1316921758755365,43.09005635588656,2.00289837713356,0.27233397680804927,0.9621000427308143,4.549913510529624e-05,0.0,0.0886702768129007,0.0,0.0,0.07291263809741255,0.0,0.0,0.5063164311355515,0.4801240043295442,0.41470131873487187,1.0,1.0,1.0,9,58
2018-09,de,google.de,0.14158704241357153,0.11771191049067735,0.3224736386401631,0.0066366114687759535,0.32502621789450914,0.9795062144135043,2.4952189785394787,1.2619508194550335,944.36312714055,1.1443046787354114,0.5689305180075788,0.6276649078763411,0.07670823062161793,9.601141164206946e-05,0.3803625290004912,0.0001245468229839653,4.7296261892645053e-07,0.021422684170067267,0.0,0.0,0.2737277463205085,0.24455793445242596,0.23083933838205165,1.0,1.0,1.0,10,12
